analysisGender2Category,analysisGender3Category,analysisHasSecondaryMorphYN,analysisInternalChanges,analysisMutability,analysisNotes,analysisPluralPattern,analysisPluralPatternSecondary,analysisPluralSplitYN,analysisPluralTheme,analysisPluralThemeSecondary,analysisRAugSplitYN,analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,lexiconAnimateYN,lexiconGender,lexiconGlossEnglish,lexiconGlossFrench,lexiconHumanYN,lexiconjGender,lexiconLoanwordNotes,lexiconLoanwordSource,lexiconPOS,lexiconSemanticField,lexiconSexGender,recordDataSource,recordID,word1MSF,word2MSB,word3MPF,word4MPB,word5FSF,word6FSB,word7FPF,word8FPB,wordDerivedCategory,wordDerivedCategoryNotes,wordDerivedInput,wordDerivedInputGloss,wordFemBase,wordFemSecondary,wordLexBitVector,wordMascBase,wordMascSecondary,wordNumSemanticCategory,p_stem_sing_syllabified,p_stem_sing_LH,p_stem_sing_foot,p_LH_count_heavies,p_LH_count_moras,p_foot_count_feet,p_foot_residue
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,uttla,N,F,swaddling,emmaillotement,N,F,,Native,N,Clothing & Adornment,,Jebbour 1996,701,,,,,tuttla,tuttla,,,Action Nouns,,ttl (Verb),to swaddle,5.0,,0000-1100,0.0,,,ut.tl.a,HLL,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,!zbar,N,M,pruning,émondage,N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,704,!azbar,!uzbar,,,,,,,Action Nouns,,!zbr (Verb),to prune,0.0,,1100-0000,1.0,,,z.bar,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!zbbar,,,A,N,!zbbar,Y,M,pruner,émondeur,Y,M,,Native,N,Agriculture & Vegetation,NonSpec,Jebbour 1996,706,!azbbar,!uzbbar,!izbbarn,!izbbarn,!tazbbart,!tzbbart,!tizbbarin,!tzbbarin,Agentives,,!zbr (Verb),to prune,0.0,POLY,1111-1111,1.0,,5-POLY,zb.bar,HH,FF,1,4,2,0
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Internal,,N,lkkuwsa,,,A,N,lkkawsu,N,M,"lopper, pruner",émondoir,N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,707,alkkawsu,ulkkawsu,ilkkuwsa,ilkkuwsa,talkkawsut,tlkkawsut,tilkkuwsa,tlkkuwsa,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,lk.kaw.su,HHL,FFl,1,5,2,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,gʷnfrru,N,M,blunting,émoussement,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,708,agʷnfrru,ugʷnfrru,,,,,,,Stative Noun - WIP,,ggʷnfr (Verb),to be blunt,0.0,,1100-0000,1.0,,,gn.fr.ru,LLL,lF,0,3,1,1
Feminine,Feminine,,,Fixed-Fem,,External,,N,ardaz,,,Zero,N,ardaz,N,F,span,empan,N,F,,Native,N,Spatial Relations,,Jebbour 1996,709,,,,,tardazt,tardazt,tardazin,tardazin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,ar.daz,HH,FF,1,4,2,0
Masculine,Masculine,Yes,,Variable-Masc,Derived input: bound root,External,,N,rqqas,,,A,N,rqqas,Y,M,emissary,émissaire,Y,M,,Native,N,Social Relations,NonSpec,Jebbour 1996,710,arqqas,urqqas,irqqasn,irqqasn,tarqqast,trqqast,tirqqasin,trqqasin,Underived,,NotAppl,,0.0,POLY,1111-1111,1.0,,5-POLY,rq.qas,HH,FF,1,4,2,0
Masculine,Neutral,,Ablaut,Neutral,,Internal,,N,!nuzam,,,A,Y,!nazum,Y,M,"age of fasting, pubescent","en âge de jeûner, pubère",Y,M,,Arabic-Assimilated,N,Spatial Relations,NonSpec,Jebbour 1996,711,!anazum,!unazum,!inuzam,!inuzam,!tanazumt,!tnazumt,!tinuzam,!tnuzam,Agentives,,!azum (Verb),to fast,0.0,,1111-1111,1.0,,,na.zum,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,External,,N,almbχχr,,,Zero,N,almbχχr,N,F,censer,encensoir,N,F,,Arabic-Assimilated,N,Religion & Beliefs,,Jebbour 1996,713,,,,,talmbχχrt,talmbχχrt,talmbχχrin,talmbχχrin,Instrumental Nouns,,bχχr (Verb),to censer,5.0,,0000-1111,0.0,,,a.lm.bχ.χr,LLLL,FF,0,4,2,0
Masculine,Masculine,Yes,Ablaut,Variable-Masc,Singular Theme: regular delabialization.,Internal,,N,gʷrar,,,A,N,grur,N,M,enclosure,enclos,N,M,,Native,N,Spatial Relations,,Jebbour 1996,715,agrur,ugrur,igʷrar,igʷrar,tagrurt,tgrurt,tigʷrar,tgʷrar,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,g.rur,LH,lF,1,3,1,1
Masculine,Masculine,,Final A,Fixed-Masc,"Assumption: while not a high vowel, assume [a] deletes in the same context based on parallel with same pattern with [i] in relatee 717
Stem phonology: syncope",Mixed,,N,frga,,,A,N,frag,N,M,"enclosure, fence, fencing","enclos, cloture, clôturage",N,M,,Native,N,Spatial Relations,,Jebbour 1996,716,afrag,ufrag,ifrgan,ifrgan,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,f.rag,LH,lF,1,3,1,1
Masculine,Masculine,,Final A,Fixed-Masc,Stem phonology: syncope,Mixed,,N,frga,,,I,N,frig,N,M,"paddock fence, hedge","enclos, haie",N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,717,ifrig,ifrig,ifrgan,ifrgan,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,f.rig,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,!gʷmmad,N,M,place in front,endroit en face,N,M,,Native,N,Spatial Relations,,Jebbour 1996,718,!agʷmmad,!ugʷmmad,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,gm.mad,LH,lF,1,3,1,1
Masculine,Neutral,,Ablaut,Neutral,"Variant: arba ~ tarbat
Assumption: theme ends in /t/ because otherwise no explanation for emergence of /t/ in plural (can't be Final T because of /-n/).",Mixed,,N,rbat,,,A,Y,rbit,Y,M,child,enfant,Y,M,,Native,N,Mankind,NonSpec,Jebbour 1996,720,arbi,urbi,irbatn,irbatn,tarbit,trbit,tirbatin,trbatin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,r.bit,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,azzan,,,Zero,Y,azzan,Y,M,child,enfant,Y,M,,Native,N,Mankind,NonSpec,Jebbour 1996,721,azzan,wazzan,azzann,wazzann,tazzant,tazzant,tazzanin,tazzanin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,az.zan,HH,FF,1,4,2,0
Masculine,Masculine,,Ablaut,Fixed-Masc,Singular Theme: regular delabialization.,Internal,,N,gʷsas,,,A,N,gsus,N,M,hell,enfer,N,M,,Native,N,Religion & Beliefs,,Jebbour 1996,722,agsus,ugsus,igʷsas,igʷsas,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,g.sus,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,rwass,N,M,hell,enfer,N,M,,Native,N,Religion & Beliefs,,Jebbour 1996,723,arwass,urwass,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,r.wass,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,snaj,N,M,threading,enfilement,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,724,asnaj,usnaj,,,,,,,Action Nouns,,sni (Verb),to thread,0.0,,1100-0000,1.0,,,s.naj,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,bzzag,N,M,swelling,enflure,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,726,abzzag,ubzzag,,,,,,,Stative Noun - WIP,,bzg (Verb),to be inflated,0.0,,1100-0000,1.0,,,bz.zag,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,fna,N,M,someone or something that causes a loss,péril,N,M,,Native,N,Social Relations,,Jebbour 1996,728,afna,ufna,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,f.na,LL,F,0,2,1,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,nnuʁʃf,N,M,boredom,ennui,N,M,,Native,N,Mind & Thought,,Jebbour 1996,729,annuʁʃf,unnuʁʃf,,,,,,,Stative Noun - WIP,,nnuʁʃf (Verb),to be bored,0.0,,1100-0000,1.0,,,n.nuʁ.ʃf,LHL,lFl,1,4,1,1
Masculine,Neutral,,,Neutral,,External,,N,nnurʃif,,,A,Y,nnurʃif,Y,M,"bored, restless person, someone with breathing difficulty","ennuyé, inquiet",Y,M,,Native,N,Mind & Thought,NonSpec,Jebbour 1996,730,annurʃif,unnurʃif,innurʃifn,innurʃifn,tannurʃift,tnnurʃift,tinnurʃifin,tnnurʃifin,Agentives,,nnuʁʃf  (Verb),to be bored,0.0,,1111-1111,1.0,,,n.nur.ʃif,LHH,lFF,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,agrwaz,N,F,hoarseness,enrouement,N,F,,Native,N,Food & Drink,,Jebbour 1996,731,,,,,tagrwazt,tagrwazt,,,Stative Noun - WIP,,gurzu (Verb),to be hoarse,5.0,,0000-1100,0.0,,,a.gr.waz,LLH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,Zero,N,agurzu,N,M,"hoarseness, an speech defect",enrouement,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,732,agurzu,agurzu,,,,,,,Stative Noun - WIP,,gurzu (Verb),to be hoarse,0.0,,1100-0000,1.0,,,a.gur.zu,LHL,lFl,1,4,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,fggig,,,I,N,fggig,N,M,beam (for a loom),ensouple,N,M,,Native,N,Clothing & Adornment,,Jebbour 1996,734,ifggig,ifggig,ifggign,ifggign,tifggigt,tfggigt,tifggigin,tfggigin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,fg.gig,HH,FF,1,4,2,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,nifif,,,I,N,nifif,N,M,funnel,entonnoir,N,M,,Native,N,Religion & Beliefs,,Jebbour 1996,738,inifif,inifif,inififn,inififn,tinifift,tnifift,tinififin,tnififin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,ni.fif,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,mlhuf,,,A,Y,mlhuf,Y,M,greedy,avide,Y,M,,Arabic-Assimilated,N,Possession & Trade,NonSpec,Jebbour 1996,739,amlhuf,umlhuf,imlhufn,imlhufn,tamlhuft,tmlhuft,timlhufin,tmlhufin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,ml.huf,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,!mmulz,N,M,sprain,entorse,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,740,!ammulz,!ummulz,,,,,,,Stative Noun - WIP,,mmulz (Verb),to be sprained,0.0,,1100-0000,1.0,,,m.mu.lz,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,nkʃum,N,M,entrance,entrée,N,M,,Native,N,Dwellings & Furniture,,Jebbour 1996,741,ankʃum,unkʃum,,,,,,,Action Nouns,,kʃm (Verb),to enter,0.0,,1100-0000,1.0,,,nk.ʃum,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,kʃʃum,N,M,input (action),entrée (action),N,M,,Native,N,Motion & Transportation,,Jebbour 1996,742,akʃʃum,ukʃʃum,,,,,,,Action Nouns,,kʃm (Verb),to enter,0.0,,1100-0000,1.0,,,kʃ.ʃum,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!tmmaʕ,,,A,N,!tmmaʕ,Y,M,envious,envieux,Y,M,,Arabic-Assimilated,N,Emotion,NonSpec,Jebbour 1996,748,!atmmaʕ,!utmmaʕ,!itmmaʕn,!itmmaʕn,!tatmmaʕt,!ttmmaʕt,!titmmaʕin,!ttmmaʕin,Agentives,,!tmʕ  (Verb),to envy,0.0,POLY,1111-1111,1.0,,5-POLY,tm.maʕ,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,!sifd,N,M,"sending, mail",envoi,N,M,,Native,N,Motion & Transportation,,Jebbour 1996,749,!asifd,!usifd,,,,,,,Action Nouns,,ssifd (Verb),to send,0.0,,1100-0000,1.0,,,si.fd,LL,F,0,2,1,0
Masculine,Neutral,,,Neutral,,External,,N,!udnaj,,,Zero,Y,!udnaj,Y,M,"thick, fat (person or animal)","épais, gros",Y,M,,Native,N,Quantity & Number,NonSpec,Jebbour 1996,751,!udnaj,!wudnaj,!udnajn,!wudnajn,!tudnajt,!tudnajt,!tudnajin,!tudnajin,Stative Noun - WIP,,!dni (Verb),to be fat,0.0,,1111-1111,1.0,,,ud.naj,HH,FF,1,4,2,0
Masculine,Neutral,,,Neutral,,External,,N,zuraj,,,A,Y,zuraj,Y,M,"thick, heavy (person or thing)","épais, gros",Y,M,,Native,N,Quantity & Number,NonSpec,Jebbour 1996,752,azuraj,uzuraj,izurajn,izurajn,tazurajt,tzurajt,tizurajin,tzurajin,Agentives,,zur (Verb),to be fat,0.0,,1111-1111,1.0,,,zu.raj,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,A,N,zuri,N,F,thickness,épaisseur,N,F,,Native,N,Quantity & Number,,Jebbour 1996,753,,,,,tazuri,tzuri,,,Stative Noun - WIP,,zur (Verb),to be fat,5.0,,0000-1100,0.0,,,zu.ri,LL,F,0,2,1,0
Masculine,Masculine,Yes,Final Vw,Variable-Masc,Stem phonology: vowel disharmony,Mixed,,N,iʁariw,,,Zero,N,iʁir,N,M,shoulder,épaule,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,755,iʁir,jiʁir,iʁariwn,jiʁariwn,tiʁirt,tiʁirt,tiʁariwin,tʁariwin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,i.ʁir,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,External,,N,zlf,,,A,N,zlf,N,F,tassel (like for corn),épi,N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,757,,,,,tazlft,tzlft,tizlfin,tzlfin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,zlf,H,F,1,2,1,0
Feminine,Feminine,,,Fixed-Fem,Loanword: unknown because both forms exist in M. Arabic and Tashlhiyt.,External,,N,zlaf,,,A,N,zlaf,N,F,bowl,bol,N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,758,,,,,tazlaft,tzlaft,tizlafin,tzlafin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,z.laf,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!ʕttar,,,A,N,!ʕttar,Y,M,"grocer, herbalist, spice seller, among other things","épicier, herboriste",Y,M,,Arabic-Assimilated,N,Possession & Trade,NonSpec,Jebbour 1996,759,!aʕttar,!uʕttar,!iʕttarn,!iʕttarn,!taʕttart,!tʕttart,!tiʕttarin,!tʕttarin,Underived,,NotAppl,,0.0,POLY,1111-1111,1.0,,5-POLY,ʕt.tar,HH,FF,1,4,2,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,snnan,,,A,N,snnan,N,M,spine,épine,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,760,asnnan,usnnan,isnnann,isnnann,tasnnant,tsnnant,tisnnanin,tsnnanin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,sn.nan,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,!zzlum,N,M,peeling,épluchage,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,761,!azzlum,!uzzlum,,,,,,,Action Nouns,,!zzlm (Verb),to peel,0.0,,1100-0000,1.0,,,zz.lum,HH,FF,1,4,2,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!krrad,,,A,N,!krrad,N,M,peel,épluchure,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,763,!akrrad,!ukrrad,!ikrradn,!ikrradn,!takrratt,!tkrratt,!tikrradin,!tkrradin,Action Nouns,,!krd,to peel or scratch (Verb),0.0,UNIT,1111-1111,1.0,,5-UNIT,kr.rad,LH,lF,1,3,1,1
Masculine,Masculine,,Medial A,Fixed-Masc,,Internal,,N,zmaz,,,A,N,zmz,N,M,"time, mood",époque,N,M,,Native,N,Time,,Jebbour 1996,765,azmz,uzmz,izmaz,izmaz,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,zmz,H,F,1,2,1,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,zraw,N,M,delousing,épouillage,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,766,azraw,uzraw,,,,,,,Action Nouns,,zru (Verb),"to pick one from a set, to choose",0.0,,1100-0000,1.0,,,z.raw,LH,lF,1,3,1,1
Masculine,Masculine,,Templatic,Fixed-Masc,"Stem phonology: degemination
",Internal,,N,!largug,,,Zero,N,!rrgg,N,M,"erg, broad flat area of desert",erg,N,M,,Arabic-Assimilated,N,Physical World,,Jebbour 1996,768,!rrgg,!rrgg,!largug,!largug,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,rr.gg,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,"Assumption: assume [aj] is part of the theme, because have no evidence that it is an internal change Vw. Also, [i] is the plural prefix because C-initial themes are in the majority.",Only Plural,,N,mallaj,,,Zero,N,,N,M,wandering,errance,N,,,Native,N,Motion & Transportation,,Jebbour 1996,769,,,imallajn,imallajn,,,,,Underived,,NotAppl,,0.0,,0011-0000,3.0,,,,,,0,0,0,0
Masculine,Masculine,,,Fixed-Masc,,External,,N,ʁʷlil,,,A,N,ʁʷlil,Y,M,snail,escargot,Y,M,,Native,N,Religion & Beliefs,NonSpec,Jebbour 1996,772,aʁʷlil,uʁʷlil,iʁʷliln,iʁʷliln,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,ʁ.lil,LH,lF,1,3,1,1
Masculine,Masculine,,Final A,Fixed-Masc,,Mixed,,N,smga,,,I,Y,smg,Y,M,slave,esclave,Y,M,,Native,N,Social Relations,Male,Jebbour 1996,773,ismg,ismg,ismgan,ismgan,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,smg,H,F,1,2,1,0
Masculine,Neutral,,,Neutral,,External,,N,ʁʷndaf,,,A,Y,ʁʷndaf,Y,M,"swindler, hustler","escroc, arnaqueur",Y,M,,Native,N,Possession & Trade,NonSpec,Jebbour 1996,774,aʁʷndaf,uʁʷndaf,iʁʷndafn,iʁʷndafn,taʁʷndaft,tʁʷndaft,tiʁʷndafin,tʁʷndafin,Agentives,,ʁʷndf,to swindle or scam (Verb),0.0,,1111-1111,1.0,,,ʁn.daf,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,"Observation: fossilized compound /bu/ + /skka/, and /id/ is standard for compound. Bu noun.",id Plural,,N,busskka,,,Zero,N,busskka,Y,M,snake species (similar to cobra),espèce de serpent,N,M,,Native,N,Animals,NonSpec,Jebbour 1996,775,busskka,busskka,id busskka,id busskka,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,bus.sk.ka,HLL,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,ssufʁ,Y,M,swarm out of the hive,essaim sortant de la ruche,N,M,,Native,N,Animals,NonSpec,Jebbour 1996,776,assufʁ,ussufʁ,,,,,,,Action Nouns,,ssufʁ,"to swarm, to make someone go out (Verb)",0.0,,1100-0000,1.0,,,s.su.fʁ,LLL,lF,0,3,1,1
Feminine,Feminine,,Insert C,Fixed-Fem,,Mixed,,N,isit,,,Zero,N,isi,N,F,platform,"estrade, couche",N,F,,Native,N,Physical World,,Jebbour 1996,778,,,,,tisi,tisi,tisitin,tisitin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,i.si,LL,F,0,2,1,0
Masculine,Neutral,,Ablaut,Neutral,Variant: !amʕdub ~ !tamʕdubt (no assimilation),Internal,,N,!nʕdab,,,A,Y,!nʕdub,Y,M,crippled (person or animal),estropié,Y,M,,Arabic-Assimilated,N,Body Parts & Functions,NonSpec,Jebbour 1996,780,!anʕdub,!unʕdub,!inʕdab,!inʕdab,!tanʕdubt,!tnʕdubt,!tinʕdab,!tnʕdab,Agentives,,!ʕdb,"to be hurt, injured (Verb)",0.0,,1111-1111,1.0,,,nʕ.dub,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,fsar,N,M,display,étalage,N,M,,Native,N,Sense Perception,,Jebbour 1996,782,afsar,ufsar,,,,,,,Action Nouns,,fsr,to display (Verb),0.0,,1100-0000,1.0,,,f.sar,LH,lF,1,3,1,1
Feminine,Feminine,Yes,,Variable-Fem,"Stem phonology: VV deletion, latent final glide deletion",External,Mixed,Y,mdw,mdwa,,A,N,mda,N,F,pond,étang,N,F,,Native,N,Physical World,,Jebbour 1996,784,amda,umda,imdwan,imdwan,tamda,tmda,timdwin,tmdwin,Underived,,NotAppl,,5.0,,1111-1111,0.0,AUG,1-AUG,m.da,LL,F,0,2,1,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,igzuli,N,F,to be short,état de ce qui est cour,N,,,Native,N,Motion & Transportation,,Jebbour 1996,785,,,,,tigzuli,tigzuli,,,Stative Noun - WIP,,igzul,to be short (Verb),5.0,,0000-1100,0.0,,,ig.zu.li,HLL,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,msad,N,M,state in which something is sharpened,état de ce qui est aiguisé,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,786,amsad,umsad,,,,,,,Action Nouns,,msd (Verb),to sharpen,0.0,,1100-0000,1.0,,,m.sad,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,lluqʒu,N,M,state which is dented,état de ce qui est cabossé,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,787,alluqʒu,ulluqʒu,,,,,,,Action Nouns,,lluqʒu (Verb),to be dented,0.0,,1100-0000,1.0,,,l.luq.ʒu,LHL,lFl,1,4,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,slaw,N,M,state which faded,état de ce qui est fané,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,788,aslaw,uslaw,,,,,,,Action Nouns,,isliw (Verb),to fade,0.0,,1100-0000,1.0,,,s.law,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,gusmu,N,M,state of someone who is sated,état de quelqu'un qui est repu,N,M,,Native,N,Emotion,,Jebbour 1996,789,agusmu,ugusmu,,,,,,,Action Nouns,,gusmu (Verb),to be sated,0.0,,1100-0000,1.0,,,gus.mu,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,urddm,N,F,state of a ceiling that leaks,état d'un plafond qui suinte,N,F,,Native,N,Dwellings & Furniture,,Jebbour 1996,790,,,,,turddm,turddm,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,u.rd.dm,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,,External,,N,!mrruj,,,A,N,!mrruj,N,M,spark,étincelle,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,793,!amrruj,!umrruj,imrrujn,!imrrujn,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,mr.ruj,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!brajʃ,,,A,N,!brajʃ,N,M,woolen cloth,étoffe de laine,N,M,,Native,N,Clothing & Adornment,,Jebbour 1996,794,!abrajʃ,!ubrajʃ,!ibrajʃn,!ibrajʃn,!tabrajʃt,!tbrajʃt,!tibrajʃin,!tbrajʃin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,b.ra.jʃ,LLL,lF,0,3,1,1
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Mixed,Mixed,Y,itra,itrat,,Zero,N,itri,N,M,star,étoile,N,M,,Native,N,Physical World,,Jebbour 1996,795,itri,jitri,itran,jitran,titrit,titrit,titratin,titratin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,it.ri,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,ddhaʃ,N,F,astonishment,étonnement,N,F,,Arabic-Unassimilated,N,Emotion,,Jebbour 1996,797,,,,,ddhaʃt,ddhaʃt,,,Action Nouns,,dhʃ (Verb),to be astonished,5.0,,0000-1100,0.0,,,dd.haʃ,HH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,Stem phonology: latent final glide deletion,External,,N,ʁufiw,,,A,N,ʁufi,N,F,suffocation,étouffement,N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,798,,,,,taʁufi,tʁufi,tiʁufiwin,tʁufiwin,Action Nouns,,ʁufu (verb),To suffocate,5.0,,0000-1111,0.0,,,ʁu.fi,LL,F,0,2,1,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,sufʁ,N,M,"exclusion, budding","exclusion, bourgeonnement",N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,933,asufʁ,usufʁ,,,,,,,Action Nouns,,ssufʁ (verb),exclude,0.0,,1100-0000,1.0,,,su.fʁ,LL,F,0,2,1,0
Masculine,Neutral,,Ablaut,Neutral,Variant singular has [a]: [amzwag],Mixed,,N,mzwag,,,A,Y,mzwug,Y,M,exile,exilé,Y,M,,Native,N,Social Relations,NonSpec,Jebbour 1996,934,amzwug,umzwug,imzwagn,imzwagn,tamzwugt,tmzwugt,timzwagin,tmzwagin,Agentives,,zug (verb),go into exile,0.0,,1111-1111,1.0,,,mz.wug,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,χsaj,N,M,extinction,extinction,N,,,Native,N,Time,,Jebbour 1996,936,aχsaj,uxsaj,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,χ.saj,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,mʕgaz,,,A,Y,mʕgaz,Y,M,lazy (person),fainéant,Y,M,,Arabic-Assimilated,N,Emotion,NonSpec,Jebbour 1996,937,amʕgaz,umʕgaz,imʕgazn,imʕgazn,tamʕgazt,tmʕgazt,timʕgazin,tmʕgazin,Agentives,,ʕgz (verb),be lazy,0.0,,1111-1111,1.0,,,mʕ.gaz,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,snuntf,N,M,"hurt, injury",faire mal à une blessure,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,948,asnuntf,usnuntf,,,,,,,Action Nouns,,snuntf (Verb),hurt,0.0,,1100-0000,1.0,,,s.nu.ntf,LLH,FF,1,4,2,0
